iter	Logloss
0	0.688258745
1	0.6833784003
2	0.6798095395
3	0.6764224384
4	0.673329663
5	0.6696951792
6	0.6662474526
7	0.6622707844
8	0.6580969614
9	0.6535223328
10	0.649136095
11	0.6468885649
12	0.6439349146
13	0.6402632616
14	0.6371672186
15	0.6334996979
16	0.6298476698
17	0.6267048134
18	0.6232770636
19	0.6206235405
20	0.6181245185
21	0.614842118
22	0.6124642908
23	0.6094175638
24	0.6069466208
25	0.6049191951
26	0.6019628124
27	0.5992660507
28	0.596558144
29	0.5946088354
30	0.5924222457
31	0.5899668851
32	0.5874184617
33	0.5851628332
34	0.5826937294
35	0.5803836714
36	0.5777628171
37	0.5746670213
38	0.5723376567
39	0.5706151049
40	0.5684776964
41	0.5662476116
42	0.564277779
43	0.5629557218
44	0.5610915903
45	0.55938419
46	0.5568245185
47	0.5554164447
48	0.5530905785
49	0.550704442
50	0.5484192102
51	0.546461273
52	0.5445405862
53	0.5431798706
54	0.5411599331
55	0.5398610403
56	0.5384701238
57	0.5366336347
58	0.5340582269
59	0.5326300099
60	0.5311812004
61	0.5295753197
62	0.5284440648
63	0.5271814575
64	0.5257119519
65	0.5248064586
66	0.523810691
67	0.5225533815
68	0.5214451479
69	0.5200554133
70	0.5185300235
71	0.5173031772
72	0.5159044232
73	0.5146576564
74	0.5135999639
75	0.5121284791
76	0.5107831277
77	0.5097460793
78	0.5087402668
79	0.5076245402
80	0.5066335183
81	0.5055493263
82	0.5039276172
83	0.5021029004
84	0.5009451859
85	0.5001754845
86	0.4991346763
87	0.4982899505
88	0.4975567806
89	0.4963836506
90	0.4952366881
91	0.4944337401
92	0.493465147
93	0.4923707307
94	0.4915764146
95	0.490772947
96	0.4901791443
97	0.4890334999
98	0.4881491946
99	0.4874886039
100	0.486641153
101	0.4855311245
102	0.4849400736
103	0.4835307577
104	0.4828739857
105	0.4820269818
106	0.4812439558
107	0.4804572506
108	0.4794479968
109	0.4787065746
110	0.4777908309
111	0.4772655051
112	0.4765882139
113	0.4758570327
114	0.4753781175
115	0.4751150753
116	0.4744428721
117	0.4739121986
118	0.4732149759
119	0.4727223986
120	0.4719650111
121	0.4703357556
122	0.4698643931
123	0.4693704258
124	0.4685768436
125	0.467860418
126	0.4672679292
127	0.4666313421
128	0.466028823
129	0.465381253
130	0.4647483157
131	0.4641595868
132	0.4636989315
133	0.4626333227
134	0.4621003705
135	0.4616474394
136	0.4612591908
137	0.4606067206
138	0.459989489
139	0.4596076558
140	0.4590899982
141	0.4586158054
142	0.45800222
143	0.4572723774
144	0.4567414622
145	0.4564200872
146	0.4559238254
147	0.4554764717
148	0.4548971745
149	0.454064586
150	0.4538405945
151	0.4535498863
152	0.4534241729
153	0.4529996453
154	0.4526983345
155	0.4518673263
156	0.4514881663
157	0.4508874404
158	0.4506032386
159	0.4501719781
160	0.4491918115
161	0.4486704496
162	0.4482852105
163	0.4477579738
164	0.4470490699
165	0.4466422009
166	0.4462523065
167	0.4457628497
168	0.4454296883
169	0.4448736372
170	0.4444852503
171	0.4438807287
172	0.4433942287
173	0.4430778379
174	0.4426799039
175	0.4423036167
176	0.4418916373
177	0.4410388777
178	0.4405703033
179	0.4400847896
180	0.4396429148
181	0.439192192
182	0.4387508143
183	0.4384510157
184	0.4381629651
185	0.4379416578
186	0.4374545387
187	0.4371659807
188	0.4367723387
189	0.4364661547
190	0.4360860743
191	0.4356953584
192	0.4352394819
193	0.4349569788
194	0.434461216
195	0.4343510159
196	0.4340647628
197	0.4336045329
198	0.4332661557
199	0.4330547356
200	0.4326629543
201	0.432364077
202	0.4317162796
203	0.4311405264
204	0.4308001667
205	0.4301280089
206	0.4297732757
207	0.4293356305
208	0.4289619583
209	0.4285085669
210	0.4282056278
211	0.4276728008
212	0.4273065803
213	0.4270314381
214	0.4266662219
215	0.4261945372
216	0.4260152428
217	0.4257277129
218	0.4253545228
219	0.4251124912
220	0.4249742315
221	0.4245813664
222	0.4241692754
223	0.4238420297
224	0.4235800785
225	0.4232826647
226	0.4228862902
227	0.4226867013
228	0.4223206898
229	0.4221562202
230	0.4217143654
231	0.4214090539
232	0.4209645129
233	0.4204883842
234	0.4201726551
235	0.420015401
236	0.4197280451
237	0.4195803486
238	0.4191421825
239	0.4187573644
240	0.4186284854
241	0.4180574051
242	0.4176225905
243	0.4172019947
244	0.4169024909
245	0.416615391
246	0.4164237247
247	0.4161497539
248	0.4159906572
249	0.4157236508
250	0.4153992531
251	0.4152258478
252	0.4148254889
253	0.41469723
254	0.4144015308
255	0.4141257318
256	0.4137748204
257	0.4135658225
258	0.4129718274
259	0.412608694
260	0.4122968976
261	0.4119489188
262	0.4116114227
263	0.4112793796
264	0.411058369
265	0.4108022864
266	0.4100717256
267	0.4097926193
268	0.4096366104
269	0.4093215851
270	0.4091115765
271	0.4089235918
272	0.4088245966
273	0.408432159
274	0.4082953234
275	0.4080351337
276	0.4077661044
277	0.4074581362
278	0.4071777004
279	0.4068869089
280	0.4066328105
281	0.4064097118
282	0.4061640806
283	0.4057010228
284	0.4054685193
285	0.4053515407
286	0.4051857505
287	0.4050679049
288	0.4047841964
289	0.4045904547
290	0.4044780308
291	0.4042327376
292	0.4039840371
293	0.4038575464
294	0.4035511291
295	0.4032453307
296	0.4031564737
297	0.4028437939
298	0.4023278157
299	0.4020634295
